Location
" killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene."""
"""Marysville"
"""Albuquerque"
"""New Orleans"
"""Las Vegas"
"""Seattle"
"""Santa Barbara"
"""Isla Vista"
"""Kennesaw"
"""Fort Hood"
"""Killeen"
"""San Francisco"
"""Alturas"
"""Alturas"
"""Montgomery"
"""Los Angeles"
"""Sparks"
"""Washington"
Washington D.C.
"""Oklahoma City"
"""Dallas"
"""Salisbury "
"""Hialeah"
"""Hialeah"
"""Santa Monica"
"""Santa Monica"
"""Manchester"
"""Federal Way"
"""Federal Way"
"""Herkimer County"
"""Mohawk"
 Santa Ana
"""Irvine"
"""Phoenix"
"""South Valley"
"""Newtown"
"""Newtown"
"""Happy Valley"
"""Brookfield"
"""Miami"
"""Minneapolis"
"""Minneapolis"
"""Oak Creek"
"""Oak Creek"
"""Aurora"
"""Denver"
"""Auburn"
"""Seattle"
"""Seattle"
" Oklahoma"""
"""Oakland"
"""Oakland"
"""Chardon"
"""Norcross"
"""Norcross"
"""Birmingham"
"""Seal Beach"
"""Seal Beach"
"""Carson City"
"""Carson City"
"""Grand Rapids"
"""Opelika"
"""Youngstown"
"""Tucson"
" Arizona"""
"""Manchester"
"""Manchester"
"""Huntsville"
"""Parkland"
"""Lakewood"
"""Fort Hood"
"""Fort Hood"
"""Binghamton"
"""Binghamton"
"""Carthage"
 Santa Clara
"""Carthage"
" Alabama"""
" California"""
"""Conway"
"""Phoenix"
"""Henderson"
"""Henderson"
"""DeKalb"
"""DeKalb"
"""Kirkwood"
"""Kirkwood"
" Washington"""
"""Las Vegas"
"""Arvada"
"""Omaha"
"""Omaha"
"""Saginaw"
"""Cleveland"
"""Crandon"
" Wisconsin"""
"""Blacksburg"
"""Blacksburg"
"""Gresham"
"""Salt Lake City"
"""Salt Lake City"
"""Lancaster County"
"""Nickel Mines"
"""Pittsburgh"
"""Hillsborough"
"""Essex Junction"
"""Seattle"
" Seattle"""
"""Goleta"
"""Goleta"
"""Red Lake"
"""Red Lake"
"""Brookfield"
"""Brookfield"
"""Tyler"
"""Columbus"
"""Columbus"
" Wisconsin"""
"""Chicago"
"""Meridian"
"""Meridian"
"""Cleveland"
"""Tucson"
"""Grundy"
"""Santee"
"""Melrose Park"
"""Melrose Park"
"""Wakefield"
"""Wakefield"
"""Tampa"
"""Tampa"
"""Fort Gibson"
"""Honolulu"
"""Honolulu"
"""Fort Worth"
"""Fort Worth"
"""Atlanta"
"""Atlanta"
"""Conyers"
"""Littleton"
"""Littleton"
"""Riverside"
"""Springfield"
"""Springfield"
"""Edinboro"
"""Jonesboro"
"""Jonesboro"
"""Newington"
"""Newington"
"""Milwaukee"
"""Orange"
"""Orange"
"""West Paducah"
"""Pearl"
"""Aiken"
"""Aiken"
"""Bethel"
"""San Diego"
"""Fort Lauderdale"
"""Fort Lauderdale"
"""Moses Lake"
"""Lynnville"
"""Corpus Christi"
"""Corpus Christi"
"""Montclair"
"""Chapel Hill"
"""Brookline"
"""Wickliffe"
"""Fairchild Air Force Base"
"""Fairchild Air Force Base"
" Kentucky"""
"""Chelsea"
"""Aurora"
"""Aurora"
"""Garden City"
"""Garden City"
"""Sheridan"
"""Fayetteville"
"""Fayetteville"
"""Ogden"
"""San Francisco"
"""San Francisco"
"""Dearborn"
"""Dana Point"
"""Great Barrington"
"""Watkins Glen"
"""Watkins Glen"
"""Amarillo"
"""Olivehurst"
"""Olivehurst"
"""Royal Oak"
"""Royal Oak"
"""Iowa City"
"""Iowa City"
"""Killeen"
" Texas"""
"""Ridgewood"
"""Phoenix"
"""Jacksonville"
"""Jacksonville"
"""Louisville"
"""Louisville"
"""Escondido"
"""Stockton"
"""Stockton"
"""New Orleans"
"""Greenwood"
"""Chicago"
"""Winnetka"
"""Sunnyvale"
"""Sunnyvale"
"""Pinellas Park"
"""Palm Bay"
"""Palm Bay"
"""Lewistown"
"""Edmond"
" Oklahoma"""
"""Brooklyn"
"""Atlanta"
"""Goddard"
"""San Ysidro"
"""San Ysidro"
"""Dallas"
"""Dallas"
"""Los Angeles"
"""Johnston"
"""Seattle"
"""Miami"
"""Miami"
"""Las Vegas"
"""Columbia"
"""San Diego"
"""Fullerton"
"""Los Angeles"
"""Olean"
"""Chicago"
"""New Orleans"
"""Spokane"
"""Mesa"
"""Austin"
